142,วิศวกรรมอุตสาหการ-โลจิสติกส์,14,-,วิทย์-คณิต,/,-,/,/,-,-,-,-,-,-,/,/,/,/,-,-,16,-,-,-
143,วิศวกรรมคอมพิวเตอร์,15,-,วิทย์-คณิต,/,-,/,/,-,-,-,-,-,-,/,/,/,/,-,-,16,-,-,-
144,วิศวกรรมเกษตร (ภาคพิเศษ),10,-,วิทย์-คณิต,/,-,/,/,-,-,-,-,-,-,/,/,/,/,-,-,16,-,-,-
145,วิศวกรรมเครื่องกล (ภาคพิเศษ),20,-,วิทย์-คณิต,/,-,/,/,-,-,-,-,-,-,/,/,/,/,-,-,16,-,-,-
146,วิศวกรรมโยธา (ภาคพิเศษ),20,-,วิทย์-คณิต,/,-,/,/,-,-,-,-,-,-,/,/,/,/,-,-,16,-,-,-
147,เกษตรและสิ่งแวดล้อมศึกษา (หลักสูตร 4 ปี),10,-,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,/,-,-,/,/,-,16,-,-,-
148,พลศึกษาและสุขศึกษา (หลักสูตร 5 ปี),-,-,-,/,-,-,-,-,/,-,-,/,/,/,-,-,-,-,-,16,-,-,-
149,ภาษาอังกฤษศึกษา (หลักสูตร 5 ปี),-,-,-,/,-,-,-,-,/,-,-,/,/,/,-,-,-,-,-,16,-,-,-
150,คณิตศาสตร์ศึกษา (หลักสูตร 5 ปี),-,-,วิทย์-คณิต,/,/,-,-,-,/,-,-,-,-,/,/,-,-,-,-,16,-,-,-
151,วิทยาศาสตร์ศึกษา (หลักสูตร 5 ปี),-,-,วิทย์-คณิต,/,-,-,-,-,/,-,-,-,-,/,/,/,/,/,-,16,-,-,-
152,ภาษาอังกฤษ,10,-,-,/,-,-,-,-,-,-,-,/,/,/,-,-,-,-,-,16,-,-,-
153,ภาษาอังกฤษ (ภาคพิเศษ),25,-,-,/,-,-,-,-,-,-,-,/,/,/,-,-,-,-,-,16,-,-,-
154,วิทยาการคอมพิวเตอร์,20,2.5,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
155,วิทยาการคอมพิวเตอร์ (ภาคพิเศษ),20,2.25,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
156,วิทยาศาสตร์ชีวภาพ,25,2,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
157,เทคโนโลยีสารสนเทศ,15,2.25,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
158,เทคโนโลยีสารสนเทศ (ภาคพิเศษ),30,2,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
159,เคมี,25,2.5,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
